#queryIndex	queryItem	stringId	preferredName	annotation
2	UCHL3	9606.ENSP00000366819	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3; Deubiquitinating enzyme (DUB) that controls levels of cellular ubiquitin through processing of ubiquitin precursors and ubiquitinated proteins. Thiol protease that recognizes and hydrolyzes a peptide bond at the C-terminal glycine of either ubiquitin or NEDD8. Has a 10-fold preference for Arg and Lys at position P3", and exhibits a preference towards 'Lys-48'-linked ubiquitin chains. Deubiquitinates ENAC in apical compartments, thereby regulating apical membrane recycling. Indirectly increases the phosphorylation of IGFIR, AKT and FOXO1 [...] 
3	SMPD3	9606.ENSP00000219334	SMPD3	Sphingomyelin phosphodiesterase 3; Catalyzes the hydrolysis of sphingomyelin to form ceramide and phosphocholine. Ceramide mediates numerous cellular functions, such as apoptosis and growth arrest, and is capable of regulating these 2 cellular events independently. Also hydrolyzes sphingosylphosphocholine. Regulates the cell cycle by acting as a growth suppressor in confluent cells. Probably acts as a regulator of postnatal development and participates in bone and dentin mineralization; Belongs to the neutral sphingomyelinase family
4	SNX25	9606.ENSP00000426255	SNX25	Sorting nexin-25; May be involved in several stages of intracellular trafficking; Sorting nexins
5	EPHX3	9606.ENSP00000221730	EPHX3	Epoxide hydrolase 3; Catalyzes the hydrolysis of epoxide-containing fatty acids. Active in vitro against epoxyeicosatrienoic acids (EETs) including 8,9-EET, 9,10-EET, 11,12-EET and 14,15-EET and leukotoxin; Abhydrolase domain containing
6	CDK5R1	9606.ENSP00000318486	CDK5R1	Cyclin dependent kinase 5 regulatory subunit 1; Cyclin-dependent kinase 5 activator 1; P35 is a neuron specific activator of CDK5. The complex p35/CDK5 is required for neurite outgrowth and cortical lamination. Involved in dendritic spine morphogenesis by mediating the EFNA1-EPHA4 signaling. Activator of TPKII. The complex p35/CDK5 participates in the regulation of the circadian clock by modulating the function of CLOCK protein: phosphorylates CLOCK at 'Thr-451' and 'Thr-461' and regulates the transcriptional activity of the CLOCK-ARNTL/BMAL1 heterodimer in association with altered sta [...] 
7	TMEM52B	9606.ENSP00000371348	TMEM52B	Transmembrane protein 52B
8	BMAL2	9606.ENSP00000266503	ARNTL2	Aryl hydrocarbon receptor nuclear translocator-like protein 2; Transcriptional activator which forms a core component of the circadian clock. The circadian clock, an internal time- keeping system, regulates various physiological processes through the generation of approximately 24 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior. It is derived from the Latin roots 'circa' (about) and 'diem' (day) and acts as an important regulator of a wide array of physiological functions including metabolism, sleep, body temperature, blood pressu [...] 
9	FGFR1	9606.ENSP00000393312	FGFR1	Fibroblast growth factor receptor 1; Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of embryonic development, cell proliferation, differentiation and migration. Required for normal mesoderm patterning and correct axial organization during embryonic development, normal skeletogenesis and normal development of the gonadotropin-releasing hormone (GnRH) neuronal system. Phosphorylates PLCG1, FRS2, GAB1 and SHB. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 lea [...] 
10	RFX7	9606.ENSP00000453281	RFX7	DNA-binding protein RFX7; Regulatory factor X family; Belongs to the RFX family
11	ITGAL	9606.ENSP00000349252	ITGAL	Integrin subunit alpha l; Integrin alpha-L; Integrin alpha-L/beta-2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin alpha-L/beta-2 is also a receptor for F11R. Involved in a variety of immune phenomena including leukocyte-endothelial cell interaction, cytotoxic T-cell mediated killing, and antibody dependent killing by granulocytes and monocytes. Contributes to natural killer cell cytotoxicity. Involved in leukocyte adhesion and transmigration of leukocytes including T-cells and neutrophils. Required for generation of common lymphoid progenitor cells in bone marrow, indicatin [...] 
12	LMNA	9606.ENSP00000357283	LMNA	Prelamin-A/C; Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin. Lamin A and C are present in equal amounts in the lamina of mammals. Plays an important role in nuclear assembly, chromatin organization, nuclear membrane and telomere dynamics. Required for normal development of peripheral nervous system and skeletal muscle and for muscle satellite cell proliferation. Required for osteoblastogenesis and bone formation. A [...] 
14	TBCB	9606.ENSP00000221855	TBCB	Tubulin-folding cofactor B; Binds to alpha-tubulin folding intermediates after their interaction with cytosolic chaperonin in the pathway leading from newly synthesized tubulin to properly folded heterodimer. Involved in regulation of tubulin heterodimer dissociation. May function as a negative regulator of axonal growth (By similarity); Belongs to the TBCB family
15	SLC7A1	9606.ENSP00000370128	SLC7A1	High affinity cationic amino acid transporter 1; High-affinity, low capacity permease involved in the transport of the cationic amino acids (arginine, lysine and ornithine) in non-hepatic tissues; Belongs to the amino acid-polyamine-organocation (APC) superfamily. Cationic amino acid transporter (CAT) (TC 2.A.3.3) family
17	EIF4E	9606.ENSP00000425561	EIF4E	Eukaryotic translation initiation factor 4E
18	SYNGR3	9606.ENSP00000248121	SYNGR3	Synaptogyrin-3; May play a role in regulated exocytosis. May indirectly regulate the activity of the plasma membrane dopamine transporter SLC6A3 and thereby regulate dopamine transport back from the synaptic cleft into the presynaptic terminal; Belongs to the synaptogyrin family
19	IL32	9606.ENSP00000432218	IL32	Interleukin-32; Interleukin 32; Interleukins
