#queryIndex	queryItem	stringId	preferredName	annotation
1	PTGS2	9606.ENSP00000356438	PTGS2	Prostaglandin G/H synthase 2; Converts arachidonate to prostaglandin H2 (PGH2), a committed step in prostanoid synthesis. Constitutively expressed in some tissues in physiological conditions, such as the endothelium, kidney and brain, and in pathological conditions, such as in cancer. PTGS2 is responsible for production of inflammatory prostaglandins. Up-regulation of PTGS2 is also associated with increased cell adhesion, phenotypic changes, resistance to apoptosis and tumor angiogenesis. In cancer cells, PTGS2 is a key step in the production of prostaglandin E2 (PGE2), which plays imp [...] 
3	KCNN2	9606.ENSP00000427120	KCNN2	Small conductance calcium-activated potassium channel protein 2; Forms a voltage-independent potassium channel activated by intracellular calcium. Activation is followed by membrane hyperpolarization. Thought to regulate neuronal excitability by contributing to the slow component of synaptic afterhyperpolarization. The channel is blocked by apamin; Belongs to the potassium channel KCNN family. KCa2.2/KCNN2 subfamily
4	SNX25	9606.ENSP00000426255	SNX25	Sorting nexin-25; May be involved in several stages of intracellular trafficking; Sorting nexins
5	TMEM52B	9606.ENSP00000371348	TMEM52B	Transmembrane protein 52B
6	FGFR1	9606.ENSP00000393312	FGFR1	Fibroblast growth factor receptor 1; Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of embryonic development, cell proliferation, differentiation and migration. Required for normal mesoderm patterning and correct axial organization during embryonic development, normal skeletogenesis and normal development of the gonadotropin-releasing hormone (GnRH) neuronal system. Phosphorylates PLCG1, FRS2, GAB1 and SHB. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 lea [...] 
7	OAS2	9606.ENSP00000342278	OAS2	2'-5'-oligoadenylate synthetase 2; 2'-5'-oligoadenylate synthase 2; Interferon-induced, dsRNA-activated antiviral enzyme which plays a critical role in cellular innate antiviral response. In addition, it may also play a role in other cellular processes such as apoptosis, cell growth, differentiation and gene regulation. Synthesizes higher oligomers of 2'-5'-oligoadenylates (2-5A) from ATP which then bind to the inactive monomeric form of ribonuclease L (RNase L) leading to its dimerization and subsequent activation. Activation of RNase L leads to degradation of cellular as well as vira [...] 
8	C1orf21	9606.ENSP00000235307	C1orf21	Uncharacterized protein C1orf21; Chromosome 1 open reading frame 21
9	RFX7	9606.ENSP00000453281	RFX7	DNA-binding protein RFX7; Regulatory factor X family; Belongs to the RFX family
10	ITGAL	9606.ENSP00000349252	ITGAL	Integrin subunit alpha l; Integrin alpha-L; Integrin alpha-L/beta-2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin alpha-L/beta-2 is also a receptor for F11R. Involved in a variety of immune phenomena including leukocyte-endothelial cell interaction, cytotoxic T-cell mediated killing, and antibody dependent killing by granulocytes and monocytes. Contributes to natural killer cell cytotoxicity. Involved in leukocyte adhesion and transmigration of leukocytes including T-cells and neutrophils. Required for generation of common lymphoid progenitor cells in bone marrow, indicatin [...] 
11	LMNA	9606.ENSP00000357283	LMNA	Prelamin-A/C; Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin. Lamin A and C are present in equal amounts in the lamina of mammals. Plays an important role in nuclear assembly, chromatin organization, nuclear membrane and telomere dynamics. Required for normal development of peripheral nervous system and skeletal muscle and for muscle satellite cell proliferation. Required for osteoblastogenesis and bone formation. A [...] 
